douban_id,imdb_id,Title,Year,Directors,Actors,Genres,Country,Runtime,YourRating_douban,YourRating_imdb,DateRated_First,DateRated_douban,DateRated_imdb,PublicRating_douban,Votes_douban,PublicRating_imdb,Votes_imdb,URL_douban,URL_imdb
3993559.0,nan,赛德克·巴莱,2012,魏德圣,"林庆台, 马志翔, 安藤政信","剧情, 历史, 战争",中国台湾,,4.0,,2023-11-24,2023-11-24,,8.8,197894.0,,,https://movie.douban.com/subject/3993559/,
36055633.0,nan,乐队的夏天 第三季,2023,"王雪, 陈雨璇","大张伟, 高叶, 马东","音乐, 真人秀",中国大陆,,3.0,,2023-10-21,2023-10-21,,7.2,29698.0,,,https://movie.douban.com/subject/36055633/,
35725899.0,nan,缩小人特攻队,2022,熊琛,"范明, 张子栋, 陈昊明",喜剧,中国大陆,,2.0,,2022-02-02,2022-02-02,,3.9,1552.0,,,https://movie.douban.com/subject/35725899/,
25890928.0,nan,屌丝男士 第四季,2015,大鹏,"大鹏, 玛蒂娜·希尔, 韩庚",喜剧,中国大陆,,3.0,,2021-01-05,2021-01-05,,7.5,27509.0,,,https://movie.douban.com/subject/25890928/,
30210248.0,nan,百花深处,2002,陈凯歌,"冯远征, 耿乐","喜剧, 短片",中国大陆,,4.0,,2020-10-25,2020-10-25,,9.1,30227.0,,,https://movie.douban.com/subject/30210248/,
34660591.0,nan,乐队的夏天 第二季,2020,"王雪, 陈雨璇, 周宗政","马东, 周迅, 大张伟","音乐, 真人秀",中国大陆,,4.0,,2020-10-23,2020-10-23,,7.4,68519.0,,,https://movie.douban.com/subject/34660591/,
21327518.0,nan,硬汉奶爸,2014,李奥,"刘承俊, 刘芸, 蓝心妍","喜剧, 家庭",中国大陆,,1.0,,2020-07-01,2020-07-01,,4.4,2365.0,,,https://movie.douban.com/subject/21327518/,
30174640.0,nan,法制未来时,2015,孔大山,"孔大山, 戴文杰, 王澍","喜剧, 短片",中国大陆,,4.0,,2020-02-13,2020-02-13,,8.4,24245.0,,,https://movie.douban.com/subject/30174640/,
5993188.0,nan,黑狐,2011,"张健, 陶秋普, 王德庆, 杜玉明","张若昀, 刘小锋, 乔鹏樾",战争,中国大陆,,3.0,,2020-02-11,2020-02-11,,7.5,8267.0,,,https://movie.douban.com/subject/5993188/,
25889645.0,nan,腾空的日子,2014,毕鑫业,"李佳航, 胡冰卿, 郑家彬",喜剧,中国大陆,,3.0,,2020-02-06,2020-02-06,,8.7,27042.0,,,https://movie.douban.com/subject/25889645/,
3726072.0,nan,东邪西毒：终极版,2008,王家卫,"张国荣, 林青霞, 梁朝伟","剧情, 动作, 爱情",中国香港 中国大陆 中国台湾,,4.0,,2019-09-30,2019-09-30,,8.8,220990.0,,,https://movie.douban.com/subject/3726072/,
30357985.0,nan,中国新说唱 第二季,2019,车澈,"吴亦凡, MC热狗, 张震岳","音乐, 真人秀",中国大陆,,2.0,,2019-07-27,2019-07-27,,5.3,36921.0,,,https://movie.douban.com/subject/30357985/,
